"Effect of attentive fixation in macaque thalamus and cortex","https://journals.physiology.org/doi/abs/10.1152/jn.2001.85.1.219","journals.physiology.org","https://journals.physiology.org/doi/pdf/10.1152/jn.2001.85.1.219"
"The thalamus of the Macaca, mulatta. An atlas for use with the stereotaxic instrument.","https://www.cabdirect.org/cabdirect/welcome/?target=%2fcabdirect%2fabstract%2f19522203025","www.cabdirect.org",
"Distribution of the dopamine innervation in the macaque and human thalamus","https://www.sciencedirect.com/science/article/pii/S1053811906007609","www.sciencedirect.com",
"Medial lemniscal and spinal projections to the macaque thalamus: an electron microscopic study of differing GABAergic circuitry serving thalamic somatosensory …","https://www.jneurosci.org/content/14/5/2485.short","www.jneurosci.org","https://www.jneurosci.org/content/jneuro/14/5/2485.full.pdf"
"Diverse thalamic projections to the prefrontal cortex in the rhesus monkey","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903130106","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.903130106"
"A thalamic nucleus specific for pain and temperature sensation","https://www.nature.com/articles/372770a0","www.nature.com","https://www.nature.com/articles/372770a0.pdf"
"Connexions of the somatic sensory cortex of the rhesus monkey: III.—thalamic connexions",,,"https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=086111ccf8db5585f16a54ba754ea75ebac97d6c"
"Thalamocortical connections of the parabelt auditory cortex in macaque monkeys","https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1096-9861(19981019)400:2%3C271::AID-CNE8%3E3.0.CO;2-6","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1096-9861(19981019)400:2%3C271::AID-CNE8%3E3.0.CO;2-6"
"Thalamic input to mesial and superior area 6 in the macaque monkey","https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1096-9861(19960812)372:1%3C59::AID-CNE6%3E3.0.CO;2-L","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1096-9861(19960812)372:1%3C59::AID-CNE6%3E3.0.CO;2-L"
"The primate motor thalamus","https://www.sciencedirect.com/science/article/pii/0165017396000033","www.sciencedirect.com",
"Gravity orientation tuning in macaque anterior thalamus","https://www.nature.com/articles/nn.4423","www.nature.com",
"Crossed corticothalamic and thalamocortical connections of macaque prefrontal cortex","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902570211","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.902570211"
"Cingulate cortex of the rhesus monkey: I. Cytoarchitecture and thalamic afferents","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902620207","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.902620207"
"Projections of thalamic gustatory and lingual areas in the monkey, Macaca fascicularis","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902440208","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.902440208"
"Spatial–temporal topography in neurogenesis of the macaque thalamus","https://link.springer.com/article/10.1007/s00429-022-02463-4","link.springer.com",
"Corticothalamic connections of paralimbic regions in the rhesus monkey","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902690111","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.902690111"
"… study of the projections of the pretectum in the rhesus monkey (Macaca mulatta): evidence for sensorimotor links to the thalamus and oculomotor nuclei","https://www.sciencedirect.com/science/article/pii/0006899377905364","www.sciencedirect.com",
"Organization of the thalamo-cortical connexions to the frontal lobe in the rhesus monkey","https://link.springer.com/article/10.1007/bf00236173","link.springer.com","https://link.springer.com/content/pdf/10.1007/BF00236173.pdf"
"Sagittal cytoarchitectonic maps of the Macaca mulatta thalamus with a revised nomenclature of the motor‐related nuclei validated by observations on their …","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902620303","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cne.902620303"
"Distribution of nociceptive neurons in the ventrobasal complex of macaque thalamus","https://www.sciencedirect.com/science/article/pii/S0168010298000212","www.sciencedirect.com",
